Serial Number,Movie Name,Language,IMDb Rating,Running Time,Year of Release,Maturity Rating
1,John Rambo,Tamil,7,1 h 26 min,2008,18+
2,American Pie,English,7,1 h 35 min,1999,18+
3,Bombshell,English,6.8,1 h 48 min,2019,18+
4,Love Birds,Tamil,5.1,2 h 40 min,1996,All
5,Hippi,Telugu,5,2 h 20 min,2019,18+
6,Honey Bunny As Super Team X,Tamil,None,49min,2018,7+
7,Ayyaa,Tamil,5.7,2 h 39 min,2005,All
8,Mukhya Mantri,Bengali,None,1 h 57 min,1996,NR
9,Gandhi Fer Aa Gea,Punjabi,4.9,2 h 13 mins,2020,13+
10,Premada Vayasu,Kannada,6,1 h 56 min,1997,NR
11,Tum Se Achcha Kaun Hai,Hindi,4.5,2 h 21 min,2002,All
12,Swamy,Kannada,6,2 h 34 min,2005,All
13,Ekkees Tareekh Shubh Muhurat,Hindi,5.7,1 h 33 min,2018,All
14,Sealers: One Last Hunt,English,7.7,56min,2020,13+
15,Lonavala Bypass,Marathi,None,1 h 46 mins,2009,13+
16,Project Almanac,English,6.4,1 h 46 min,2015,13+
17,Nanna Prema,Telugu,None,2 h 23 min,2019,13+
18,Ghost Stories,English,6.4,1 h 33 min,2018,18+
19,Basthi Mey Saval,Telugu,None,1 h 49 min,2002,NR
20,Jaani Dushman: Ek Anokhi Kahani,Hindi,2.8,2 h 32 min,2002,13+
21,Devdas,Hindi,7.6,2 h 35 min,None,All
22,Akashadoothu,Malayalam,7.4,2 h 13 min,1993,All
23,Mera Pind: My Home,Punjabi,6.6,2 h 44 mins,2008,All
24,City of football,Bengali,None,2min,2019,13+
25,300: Rise of an Empire,Tamil,6.2,1 h 42 min,2014,18+
26,Nana Mama,Marathi,5.8,2 h 19 mins,2006,All
27,Hutututu Aavi Ramat Ni Rutu,Gujarati,7.2,2 h 13 min,2016,All
28,Uss Din,Hindi,7.4,11min,2010,18+
29,Edge of Obedience,English,8.6,51min,2020,13+
30,Eye To Eye With Everest: Death On A Mountain,English,None,1 h 25 min,2019,13+
31,Megh-O-Roudra,Bengali,None,1 h 36 min,None,NR
32,Kanhaiya Ek Yodha (Hindi),Hindi,4.7,1 h 56 min,2019,13+
33,Yajamana,Kannada,6.7,2 h 41 min,2019,13+
34,Sketch,Telugu,5.7,2 h 13 min,2018,13+
35,Toonpur Ka Superrhero,Hindi,4.2,1 h 35 min,2010,NR
36,Pinky Mogewali,Punjabi,3.7,2 h 14 mins,2012,13+
37,Ong-Bak: Muay Thai Warrior,English,7.2,1 h 40 min,2005,16+
38,Murder,Telugu,None,1 h 50 min,2020,13+
39,Great Sardaar,Punjabi,5.2,1 h 48 mins,2017,13+
40,Kharij,Bengali,None,1 h 30 min,2019,13+
41,Open Water,English,5.7,1 h 19 min,2004,18+
42,Prema Kama,Kannada,5.9,1 h 38 min,1978,NR
43,Jhankaar Beats,Hindi,7.2,2 h 11 min,2003,18+
44,Volcano Returns,Hindi,None,1 h 24 min,2014,NR
45,Law Abiding Citizen,Tamil,7.4,1 h 44 min,2009,18+
46,Sei To Abar Kache Ele,Bengali,None,2 h 18 min,2017,13+
47,48 Hrs.,English,6.9,1 h 36 min,1982,18+
48,K.G.F: Chapter 1 (Malayalam),Malayalam,8.2,2 h 34 min,2018,13+
49,Stronger (2017),English,6.9,1 h 59 min,2017,18+
50,Teen Cup Chaa,Bengali,5.7,47min,2018,13+
51,Ramgarh Ke Sholay,Hindi,4.8,2 h 4 min,1991,All
52,Parampara,Hindi,5.7,2 h 28 min,1993,13+
53,Manmatha Raja,Kannada,5.1,2 h 9 min,1989,NR
54,Badal,Hindi,4.9,2 h 15 min,None,NR
55,Sahara,Hindi,6,2 h 15 min,None,NR
56,Jamalaye Jibanta Manush,Bengali,7.5,2 h 3 min,None,NR
57,Dash Mash Dash Diner Galpo,Bengali,5.7,1 h 54 min,2019,All
58,Bodhai Yeri Budhi Maari,Tamil,6.4,1 h 57 min,2019,13+
59,Crack,Kannada,None,2 h 22 min,2017,NR
60,Campus,Telugu,None,1 h 10 min,2000,NR
61,Hare Kanch Ki Chooriyan,Hindi,6.5,2 h 27 min,None,NR
62,Pagadi Aattam,Tamil,5.7,2 h 2 min,2017,All
63,World War Z,Hindi,7,1 h 56 min,2013,13+
64,Joy of Data,English,6.9,59min,2016,13+
65,Faasle,Hindi,4.6,2 h 26 min,1985,16+
66,Vasudev Balwant Phadke,Marathi,6.5,2 h 6 mins,2007,All
67,Sakthivel,Tamil,None,2 h 29 min,1994,All
68,Angakkuri,Malayalam,None,2 h 22 min,1979,NR
69,Thinkalaazhcha Nalla Divasam,Malayalam,7.2,1 h 59 min,1985,All
70,Adhyan,Tamil,None,1 h 48 min,2015,All
71,Keechu Raallu,Telugu,None,2 h 3 min,2005,NR
72,Uttara Dakshina,Kannada,None,2 h 25 min,1972,NR
73,Punnami Rathri,Telugu,None,2 h 1 min,1985,NR
74,Greenfingers,English,6.8,1 h 31 min,2001,18+
75,Vitamin She,Gujarati,5.7,2 h 17 min,2017,13+
76,Mayer Aasirbad,Bengali,None,2 h 38 min,2017,13+
77,Chaduranga,Kannada,6.1,2 h 18 min,1985,NR
78,Mugavaree,Tamil,7.2,2 h 36 min,2000,All
79,Qatil,Hindi,6,2 h 20 min,1988,13+
80,Noor Jahan,Bengali,5.3,2 h 22 min,2018,13+
81,Innuma Nambalai Namburanga,Tamil,None,2 h 10 min,2014,NR
82,Aftermath,English,5.7,1 h 33 min,2017,16+
83,Ranjha Refugee,Punjabi,5.5,2 h 2 mins,2018,All
84,Jab Tak Hai Jaan,Hindi,6.7,2 h 56 min,2012,13+
85,Vendetta (2015),English,None,1 h 30 min,2015,16+
86,Partner,Hindi,5.7,2 h 22 min,2007,NR
87,Daphne,English,6.1,1 h 27 min,2017,18+
88,Urumbukal Urangarilla,Malayalam,6.4,2 h 13 min,2015,13+
89,Neeharika,Malayalam,None,1 h 50 min,2014,NR
90,Jayasimha,Kannada,7.1,2 h 21 min,1987,NR
91,Despicable Me,Hindi,7.6,1 h 34 min,2010,7+
92,Mud,English,7.4,2 h 10 min,2012,16+
93,Mere Yaar Ki Shaadi Hai,Hindi,5.3,2 h 39 min,2002,All
94,Homefront,English,6.5,1 h 36 min,2013,18+
95,Gladiator,English,8.5,2 h 34 min,2000,18+
96,Mantramugdha,Bengali,None,2 h 5 min,1977,NR
97,De Dana Dan,Hindi,5.4,2 h 47 min,2009,NR
98,Rockstar,Hindi,7.7,2 h 37 min,2011,NR
99,The Pursuit of Happyness,English,8,1 h 57 min,2006,All
100,Baba Taraknath,Bengali,5.5,2 h 30 min,1977,All
101,Rajlakshmi O Srikanta,Bengali,6.2,2 h 12 min,2017,13+
102,Surya IPS,Telugu,6.9,2 h 23 min,1991,NR
103,Dil Jo Na Keh Saka,Hindi,5.4,2 h 5 min,2017,13+
104,Champion,Telugu,None,2 h 6 min,1992,NR
105,Gatham (Kannada),Kannada,6.1,1 h 41 min,2020,18+
106,Dirty Dancing,English,7,1 h 40 min,1987,13+
107,Gatham (Malayalam),Malayalam,6.1,1 h 41 min,2020,18+
108,Ishhya,Marathi,5.5,1 h 59 mins,2006,All
109,Ek Aur Ekk Gyaraah,Hindi,None,2 h 29 min,1981,NR
110,Universal Soldier: Day of Reckoning,Telugu,5,1 h 45 min,2012,18+
111,Manikarnika: The Queen of Jhansi,Tamil,6.4,2 h 20 min,2019,16+
112,Rowdy Baadshah,Hindi,6.4,2 h 10 min,2014,13+
113,Manamulla Marutharam,Tamil,None,2 h 27 min,1958,NR
114,Dare,Telugu,5.8,2 h 25 min,2011,NR
115,Jeevana Raagam,Telugu,None,2 h 15 min,1986,NR
116,Sugar Salt Ani Prem,Marathi,6.2,2 h 5 mins,2015,All
117,Evil Eye,English,4.7,1 h 29 min,2020,16+
118,Swarg,Hindi,6.7,2 h 31 min,1990,All
119,Poojaikku Vantha Malar,Tamil,7.5,2 h 41 min,1965,NR
120,Bastard,English,None,7min,2010,NR
121,Karunamoyee,Bengali,None,2 h 23 min,2017,13+
122,Nayakan,Tamil,8.6,2 h 36 min,1987,18+
123,Twister,Hindi,6.4,1 h 53 min,1996,13+
124,Bal Ganesh 3 (Tamil),Tamil,5.2,1 h 8 min,2015,7+
125,Goonda,Telugu,7,2 h 17 min,1984,NR
126,Bazar,Hindi,6,2 h 28 min,None,NR
127,LOL,English,4.4,1 h 32 min,2012,16+
128,Amari Duniya Tamari Duniya,Gujarati,None,2 h 13 min,2007,All
129,Project Y,English,None,44min,2020,13+
130,Robin Hood,English,6.6,2 h 20 min,2010,13+
131,Mardaani,Hindi,7.3,1 h 53 min,2014,18+
132,Simham Puli,Telugu,None,2 h 34 min,2011,NR
133,Go For Goals,Bengali,None,1 h 41 min,2017,13+
134,Autograph,Bengali,7.4,2 h 12 min,2017,13+
135,The Cabin Guard,Bengali,4.9,1 h 25 min,2019,13+
136,Ondu Hennina Kathe,Kannada,None,2 h 27 min,1972,NR
137,The Forgotten Genocide: Europe's Gypsies in World War II,English,8.2,1 h 15 min,2020,13+
138,Ulagam Pirandhadhu Enakkaga,Tamil,None,2 h 28 min,1990,All
139,HAK_MTL,English,6.1,1 h 7 min,2020,13+
140,The Lego Movie,English,7.7,1 h 40 min,2014,All
141,Zoo Laka Taka,Telugu,6,1 h 36 min,1989,NR
142,Life is Beautiful,Hindi,None,1 h 56 min,2014,NR
143,Chanda,Kannada,None,2 h 34 min,2007,NR
144,Saawariya - Khatu Shyam Ji Ki Amar Gatha,Hindi,None,2 h 3 min,2013,NR
145,London Has Fallen,Hindi,5.9,1 h 34 min,2016,18+
146,Summer in Bethlehem,Malayalam,7.8,2 h 34 min,1998,All
147,Tarpan,Hindi,None,2 h 4 min,1995,NR
148,Michael,Bengali,5.7,2 h 13 min,2018,13+
149,King - Malayalam,Malayalam,None,2 h 37 min,2002,NR
150,Quick,English,5.8,1 h 47 min,2011,16+
151,Hey Ram,Hindi,7.9,3 h 19 min,2000,NR
152,Karpagam,Tamil,7.4,2 h 49 min,1963,All
153,Vellinakshatram,Malayalam,4.8,2 h 36 min,2004,All
154,Jeevan Ek Sanghursh,Hindi,4.9,2 h 39 min,1990,All
155,Bal Ganesh and PomZom Planet (Tamil),Tamil,None,1 h 20 min,2017,All
156,Vaagai Sooda Vaa,Tamil,8,2 h 5 min,2011,All
157,Anne Frank: A Sister's Story,English,None,23min,2020,13+
158,Bal Ganesh (Gujarati),Gujarati,6.9,1 h 42 min,2007,All
159,Honeymoon Travels Pvt Ltd,Hindi,6.1,1 h 59 min,2007,13+
160,Dishoom,Hindi,5.1,2 h 1 min,2016,NR
161,Mayuri,Malayalam,None,1 h 18 min,2000,NR
162,On Going Home,English,None,19min,2020,13+
163,Telangana's Pride - Nagoba Jathara,English,None,58min,2020,13+
164,Sharkwater Extinction,English,7.7,1 h 24 min,2019,16+
165,Generation Wealth,English,6.7,1 h 46 min,2018,18+
166,Aakrosh,Hindi,7,2 h 25 min,2010,18+
167,Zombieland: Double Tap,Telugu,6.7,1 h 39 min,2019,18+
168,Loki,Kannada,None,2 h 16 min,2013,NR
169,Invisible Wildlife Photographer,English,None,51min,2019,13+
170,Nivuru,Telugu,None,2 h 12 min,2018,18+
171,Sesh Parba,Bengali,None,2 h 6 min,1972,NR
